Accept Payment,Aanvaar betaling,
Amount,bedrag,
Amount Based On Field,Bedrag gebaseer op veld,
Amount Field,Bedrag Veld,
Attributes,eienskappe,
Button Help,Knoppie Hulp,
Button Label,Knoppie,
Compact Item Print,Kompakte Item Druk,
Company,maatskappy,
Currency,geldeenheid,
Customer,kliënt,
Description,beskrywing,
HTML / Banner that will show on the top of product list.,HTML / Banner wat op die top van die produklys verskyn.,
Is Billing Contact,Is faktureringskontak,
Is Your Company Address,Is u maatskappy se adres,
Item Fields,Itemvelde,
Keyboard Shortcuts,Sleutelbord kortpaaie,
Payment Gateway,Betaling Gateway,
Payments,betalings,
Print UOM after Quantity,Druk UOM na hoeveelheid uit,
Print taxes with zero amount,Druk belasting met nul bedrag,
Products,produkte,
Reload,Reload,
Route,roete,
Session Defaults,Sessie verstek,
Show in Website,Vertoon in webwerf,
Show this slideshow at the top of the page,Wys hierdie skyfievertoning bo-aan die bladsy,
Slideshow,skyfievertoning,
Tax Category,Belastingkategorie,
Title,Titel,
View Website,Besigtig webwerf,
Website Settings,Webwerf-instellings,
Website Specifications,Webwerf spesifikasies,
Weightage,weightage,
