Amount,كمية,
Attributes,سمات,
Compact Item Print,مدمجة البند طباعة,
Company,شركة,
Currency,العملة,
Customer,العميل,
Description,وصف,
HTML / Banner that will show on the top of product list.,HTML / بانر التي سوف تظهر في الجزء العلوي من قائمة المنتجات.,
Item Fields,حقول البند,
Keyboard Shortcuts,اختصارات لوحة المفاتيح,
Payment Gateway,بوابة الدفع,
Payments,المدفوعات,
Print UOM after Quantity,اطبع UOM بعد الكمية,
Print taxes with zero amount,طباعة الضرائب مع مبلغ صفر,
Products,المنتجات,
Reload,تحديث,
Route,مسار,
Session Defaults,الجلسة الافتراضية,
Show in Website,عرض في الموقع,
Show this slideshow at the top of the page,تظهر هذه الشرائح في أعلى الصفحة,
Slideshow,عرض الشرائح,
Tax Category,الفئة الضريبية,
Title,اللقب,
View Website,مشاهدة الموقع,
Website Settings,إعدادات الموقع,
Website Specifications,موقع المواصفات,
Weightage,الوزن,
