Accept Payment,পেমেন্ট গ্রহণ করুন,
Amount,পরিমাণ,
Amount Based On Field,পরিমাণ ক্ষেত্রের উপর ভিত্তি করে,
Amount Field,পরিমাণ ফিল্ড,
Attributes,আরোপ করা,
Button Help,বোতাম সাহায্য,
Button Label,বোতাম ট্যাগ,
Compact Item Print,কম্প্যাক্ট আইটেম প্রিন্ট,
Company,কোম্পানি,
Currency,মুদ্রা,
Customer,ক্রেতা,
Description,বিবরণ,
HTML / Banner that will show on the top of product list.,পণ্য তালিকার শীর্ষে প্রদর্শন করবে এইচটিএমএল / ব্যানার.,
Is Billing Contact,বিলিং যোগাযোগ,
Is Your Company Address,আপনার কোম্পানির ঠিকানা,
Item Fields,আইটেম ক্ষেত্র,
Keyboard Shortcuts,কীবোর্ড শর্টকাটগুলি,
Payment Gateway,পেমেন্ট গেটওয়ে,
Payments,পেমেন্টস্,
Print UOM after Quantity,পরিমাণের পরে ইউওএম প্রিন্ট করুন,
Print taxes with zero amount,শূন্য পরিমাণ সঙ্গে করের প্রিন্ট করুন,
Products,পণ্য,
Reload,পুনরায় লোড করুন,
Route,রুট,
Session Defaults,সেশন ডিফল্ট,
Show in Website,ওয়েবসাইটে দেখান,
Show this slideshow at the top of the page,পৃষ্ঠার উপরের এই স্লাইডশো প্রদর্শন,
Slideshow,ছবি,
Tax Category,ট্যাক্স বিভাগ,
Title,খেতাব,
View Website,ওয়েবসাইট দেখুন,
Website Settings,ওয়েবসাইট সেটিংস,
Website Specifications,ওয়েবসাইট উল্লেখ,
Weightage,গুরুত্ব,
