Accept Payment,accepti el pagament,
Amount,Quantitat,
Amount Based On Field,Quantitat basada en el Camp,
Amount Field,El camp suma,
Attributes,Atributs,
Button Help,El botó d&#39;ajuda,
Button Label,Etiqueta de botó,
Compact Item Print,Compacte article Imprimir,
Company,Empresa,
Currency,Moneda,
Customer,Client,
Description,Descripció,
HTML / Banner that will show on the top of product list.,HTML / Banner que apareixerà a la part superior de la llista de productes.,
Is Billing Contact,És el contacte de facturació,
Is Your Company Address,La seva adreça és l&#39;empresa,
Item Fields,Camps de l&#39;element,
Keyboard Shortcuts,Dreceres de teclat,
Payment Gateway,Passarel·la de Pagament,
Payments,Pagaments,
Print UOM after Quantity,Imprimiu UOM després de Quantity,
Print taxes with zero amount,Imprimiu impostos amb import zero,
Products,Productes,
Reload,Recarregar,
Route,Ruta,
Session Defaults,Defectes predeterminats de la sessió,
Show in Website,Mostra al lloc web,
Show this slideshow at the top of the page,Mostra aquesta presentació de diapositives a la part superior de la pàgina,
Slideshow,Slideshow,
Tax Category,Categoria Tributària,
Title,Títol,
View Website,Veure Lloc Web,
Website Settings,Configuració del lloc web,
Website Specifications,Especificacions del lloc web,
Weightage,Weightage,
