Accept Payment,Přijímáme platby,
Amount,Částka,
Amount Based On Field,Částka z terénního,
Amount Field,výše Field,
Attributes,Atributy,
Button Help,tlačítko Nápověda,
Button Label,tlačítko Label,
Compact Item Print,Kompaktní Položka Print,
Company,Společnost,
Currency,Měna,
Customer,Zákazník,
Description,Popis,
HTML / Banner that will show on the top of product list.,"HTML / Banner, který se zobrazí nahoře v produktovém listu.",
Is Billing Contact,Je fakturační kontakt,
Is Your Company Address,Je vaše firma adresa,
Item Fields,Pole položek,
Keyboard Shortcuts,Klávesové zkratky,
Payment Gateway,Platební brána,
Payments,Platby,
Print UOM after Quantity,Tisk MJ po množství,
Print taxes with zero amount,Vytiskněte daně s nulovou částkou,
Products,Výrobky,
Reload,Znovu načíst,
Route,Trasa,
Session Defaults,Výchozí nastavení relace,
Show in Website,Zobrazit na webu,
Show this slideshow at the top of the page,Zobrazit tuto prezentaci v horní části stránky,
Slideshow,Promítání obrázků,
Tax Category,Daňová kategorie,
Title,Titulek,
View Website,K webové stránce,
Website Settings,Nastavení www stránky,
Website Specifications,Webových stránek Specifikace,
Weightage,Weightage,
