About,Über,
Amount,Betrag,
Apps,Apps,
Attributes,Attribute,
Compact Item Print,Artikel kompakt drucken,
Company,Unternehmen,
Currency,Währung,
Customer,Kunde,
Description,Beschreibung,
Frappe Support,Frappe Support,
HTML / Banner that will show on the top of product list.,"HTML/Banner, das oben auf der Produktliste angezeigt wird.",
Item Fields,Artikelfelder,
Keyboard Shortcuts,Tastaturkürzel,
Log out,Abmelden,
My Profile,Mein Profil,
My Settings,Meine Einstellungen,
Payment Gateway,Zahlungs-Gateways,
Payments,Zahlungen,
Print UOM after Quantity,UOM nach Menge drucken,
Print taxes with zero amount,Steuern mit null Betrag drucken,
Product Categories,Produktkategorien,
Products,Produkte,
Reload,Neu laden,
Report an Issue,Ein Problem melden,
Route,Route,
Session Defaults,Sitzungsstandards,
Show in Website,In der Website anzeigen,
Show this slideshow at the top of the page,Diese Diaschau oben auf der Seite anzeigen,
Slideshow,Diaschau,
Tax Category,Steuerkategorie,
Title,Bezeichnung,
Toggle Full Width,Breite wechseln,
Toggle Theme,Theme wechseln,
User Forum,Anwenderforum,
View Website,Webseite anzeigen,
Website Settings,Webseiten-Einstellungen,
Website Specifications,Webseiten-Spezifikationen,
Weightage,Gewichtung,
Shop by Category,Nach Kategorie einkaufen,
Explore our wide range of medical products,Entdecken Sie unser breites Sortiment an medizinischen Produkten,
products,Produkte,
View Products,Produkte anzeigen,
News,Nachrichten,
Latest news from the medical sector,Neueste Nachrichten aus dem Medizinsektor,
Comments disabled,Kommentare deaktiviert,
Comments enabled,Kommentare aktiviert,
Partners,Partner,
