About,A Propos,
Amount,Montant,
Attributes,Attributs,
Compact Item Print,Impression de l'Article Compacté,
Company,Société,
Currency,Devise,
Customer,Client,
Description,Description,
HTML / Banner that will show on the top of product list.,HTML / bannière qui apparaîtra sur le haut de la liste des produits.,
Item Fields,Champs de l'article,
Keyboard Shortcuts,Raccourcis clavier,
My Profile,Mon profil,
My Settings,Mes paramètres,
Payment Gateway,Passerelle de Paiement,
Payments,Paiements,
Print UOM after Quantity,Imprimer UdM après la quantité,
Print taxes with zero amount,Impression de taxes avec un montant nul,
Products,Produits,
Reload,Recharger,
Route,Route,
Session Defaults,Session par défaut,
Show in Website,Afficher sur le site Web,
Show this slideshow at the top of the page,Afficher ce diaporama en haut de la page,
Slideshow,Diaporama,
Tax Category,Catégorie de taxe,
Title,Titre,
Toggle Full Width,Changer l&#39;affichage en pleine largeur,
Toggle Theme,Basculer le thème,
View Website,Voir Le Site Web,
Website Settings,Paramètres du Site web,
Website Specifications,Spécifications du Site Web,
Weightage,Poids,
