About,A Propos,
Add Row,Ajouter une ligne,
Address,Adresse,
Amount,Montant,
An error occurred,Une erreur s'est produite,
Are you sure you want to cancel this document?,Êtes-vous sûr de vouloir annuler ce document?,
Are you sure you want to delete this document?,Êtes-vous sûr de vouloir supprimer ce document?,
Asgari stok kontrolü tamamlandı,Contrôle du stock minimum terminé,
Attachments,Pièces jointes,
Attributes,Attributs,
Available Stock,Stock disponible,
Back to List,Retour à la liste,
Billing Address,Adresse de facturation,
Birim,Unité,
Buton bulunamadı,Bouton non trouvé,
CANCELLED,ANNULÉ,
Cancelling...,Annulation...,
Comments disabled,Commentaires désactivés,
Comments enabled,Commentaires activés,
Compact Item Print,Impression de l'Article Compacté,
Company,Société,
Contact,Contact,
Create New,Créer nouveau,
Creating...,Création...,
Currency,Devise,
Current Stock,Stock actuel,
Customer,Client,
Date,Date,
Delete Selected,Supprimer la sélection,
Deleting...,Suppression...,
Delivered,Livré,
Delivery Address,Adresse de livraison,
Delivery Date,Date de livraison,
Delivery Note,Bon de livraison,
Depo,Entrepôt,
Description,Description,
Discount,Remise,
Document amended successfully,Document modifié avec succès,
Document cancelled successfully,Document annulé avec succès,
Document deleted successfully,Document supprimé avec succès,
Document name not found,Nom du document introuvable,
Due Date,Date d'échéance,
Edit Material Issue,Modifier la sortie de matériel,
Edit Reorder Levels,Modifier les niveaux de réapprovisionnement,
Ekler,Pièces jointes,
Explore our wide range of medical products,Découvrez notre large gamme de produits médicaux,
Filtre kriterlerinize uygun sonuç bulunamadı,Aucun résultat trouvé correspondant à vos critères de filtre,
Grand Total,Total général,
HTML / Banner that will show on the top of product list.,HTML / bannière qui apparaîtra sur le haut de la liste des produits.,
Henüz stok hareketi yapılmamış,Aucun mouvement de stock n'a encore été effectué,
Issued By,Émis par,
Item,Article,
Item Code,Code article,
Item Fields,Champs de l'article,
Item Name,Nom de l'article,
Items,Articles,
Keyboard Shortcuts,Raccourcis clavier,
Kontrol ediliyor...,Vérification...,
Latest news from the medical sector,Dernières actualités du secteur médical,
Material Issue,Sortie de matériel,
Material Request,Demande de matériel,
Miktar,Quantité,
Modified By,Modifié par,
Min. Stock,Stock min.,
Min. Stock Level,Niveau de stock min.,
Min. stok seviyesi belirlendiğinde sipariş miktarı da belirlenmelidir,"Lorsque le niveau de stock minimum est défini, la quantité de commande doit également être définie",
Minimum Stock Control,Contrôle du stock minimum,
Minimum stock level before reorder,Niveau de stock minimum avant réapprovisionnement,
My Profile,Mon profil,
My Settings,Mes paramètres,
Net Total,Total net,
New Material Issue,Nouvelle sortie de matériel,
News,Actualités,
No material issue found,Aucune sortie de matériel trouvée,
No material issue has been created yet,Aucune sortie de matériel n'a encore été créée,
Not Saved,Non enregistré,
Notlar,Notes,
Order Qty,Quantité de commande,
Ordered,Commandé,
Partners,Partenaires,
Pay,Payer,
Payment Gateway,Passerelle de Paiement,
Payments,Paiements,
Pending,En attente,
Posting Date,Date de publication,
Print,Imprimer,
Print UOM after Quantity,Imprimer UdM après la quantité,
Print taxes with zero amount,Impression de taxes avec un montant nul,
Products,Produits,
Quantity,Quantité,
Quantity to order when stock falls below minimum,Quantité à commander lorsque le stock tombe en dessous du minimum,
Rate,Prix,
Reload,Recharger,
Reorder Quantity,Quantité de réapprovisionnement,
Requested By,Demandé par,
Target Warehouse,Entrepôt cible,
Planned Date,Date prévue,
Required Date,Date requise,
Route,Route,
Row,Ligne,
Sales Order,Bon de commande,
Saving...,Enregistrement...,
Search item code or name...,Rechercher le code ou le nom de l'article...,
Select All,Tout sélectionner,
Select Warehouse,Sélectionner l'entrepôt,
Session Defaults,Session par défaut,
Shipping Address,Adresse de livraison,
Shop by Category,Acheter par catégorie,
Show in Website,Afficher sur le site Web,
Show this slideshow at the top of the page,Afficher ce diaporama en haut de la page,
Slideshow,Diaporama,
Source Warehouse,Entrepôt source,
Sr,N°,
Stock Status,État des stocks,
Stock Summary,Résumé des stocks,
Stok seviyeleri güncellendi,Niveaux de stock mis à jour,
Stok verisi bulunamadı,Aucune donnée de stock trouvée,
Submit,Soumettre,
Submitted,Soumis,
Tax Category,Catégorie de taxe,
Temizle,Effacer,
Terms and Conditions,Conditions générales,
Thank you for your business!,Merci pour votre activité!,
This will create a new document based on the cancelled one. Continue?,Cela créera un nouveau document basé sur celui annulé. Continuer?,
Tip,Type,
Title,Titre,
Toggle Full Width,Changer l&#39;affichage en pleine largeur,
Toggle Theme,Basculer le thème,
Tüm Depolar,Tous les entrepôts,
UOM,Unité,
Unit,Unité,
Update,Mettre à jour,
Valid Till,Valable jusqu'au,
View Products,Voir les produits,
View Website,Voir Le Site Web,
Website Settings,Paramètres du Site web,
Website Specifications,Spécifications du Site Web,
Weightage,Poids,
products,produits,
Ürün,Article,
Ürün Adı ile ara...,Rechercher par nom d'article...,
Ürün Kodu ile ara...,Rechercher par code article...,
Brand,Marque,
Clear All,Tout effacer,
Default,Par défaut,
Filters,Filtres,
Name: A to Z,Nom: A à Z,
Name: Z to A,Nom: Z à A,
Newest First,Plus récent en premier,
Price: High to Low,Prix: Élevé à Faible,
Price: Low to High,Prix: Faible à Élevé,
PRODUCT CATEGORIES,CATÉGORIES DE PRODUITS,
PRODUCT GROUPS,GROUPES DE PRODUITS,
Search,Rechercher,
Search for Products,Rechercher des produits,
Show,Afficher,
Sort By,Trier par,
Change,Modifier,
Continue Shopping,Continuer les achats,
Explore,Explorer,
Order,Commande,
Past Orders,Commandes passées,
View in Cart,Voir dans le panier,
