Accept Payment,ચુકવણી સ્વીકારી,
Amount,રકમ,
Amount Based On Field,રકમ ક્ષેત્ર પર આધારિત,
Amount Field,રકમ ક્ષેત્ર,
Attributes,લક્ષણો,
Button Help,બટન મદદ,
Button Label,બટન લેબલ,
Compact Item Print,કોમ્પેક્ટ વસ્તુ છાપો,
Company,કંપની,
Currency,કરન્સી,
Customer,ગ્રાહક,
Description,વર્ણન,
HTML / Banner that will show on the top of product list.,ઉત્પાદન યાદી ટોચ પર બતાવશે કે html / બેનર.,
Is Billing Contact,બિલિંગ સંપર્ક છે,
Is Your Company Address,તમારી કંપની સરનામું,
Item Fields,આઇટમ ક્ષેત્ર,
Keyboard Shortcuts,કીબોર્ડ શૉર્ટકટ્સ,
Payment Gateway,પેમેન્ટ ગેટવે,
Payments,ચુકવણીઓ,
Print UOM after Quantity,જથ્થા પછી યુઓએમ છાપો,
Print taxes with zero amount,શૂન્ય રકમ સાથે કર છાપો,
Products,પ્રોડક્ટ્સ,
Reload,ફરી લાવો,
Route,રૂટ,
Session Defaults,સત્ર ડિફોલ્ટ્સ,
Show in Website,વેબસાઇટમાં બતાવો,
Show this slideshow at the top of the page,પાનાંની ટોચ પર આ સ્લાઇડશો બતાવો,
Slideshow,સ્લાઇડ શો,
Tax Category,ટેક્સ કેટેગરી,
Title,શીર્ષક,
View Website,વેબસાઇટ જુઓ,
Website Settings,વેબસાઇટ સેટિંગ્સ,
Website Specifications,વેબસાઇટ તરફથી,
Weightage,ભારાંકન,
