Accept Payment,קבל תשלום,
Amount,הסכום,
Amount Based On Field,כמות המבוססת על שדה,
Amount Field,שדה סכום,
Attributes,תכונות,
Button Help,עזרה בכפתור,
Button Label,תווית כפתור,
Compact Item Print,הדפס פריט קומפקט,
Company,חברה,
Currency,מטבע,
Customer,לקוחות,
Description,תיאור,
HTML / Banner that will show on the top of product list.,HTML / אנר זה ייראה על החלק העליון של רשימת מוצרים.,
Is Billing Contact,האם איש קשר לחיוב,
Is Your Company Address,האם כתובת החברה שלך,
Item Fields,שדות פריט,
Keyboard Shortcuts,קיצורי דרך במקלדת,
Payment Gateway,תשלום Gateway,
Payments,תשלומים,
Print UOM after Quantity,הדפס UOM לאחר כמות,
Print taxes with zero amount,הדפסת מיסים עם סכום אפס,
Products,מוצרים,
Reload,רענן,
Route,מַסלוּל,
Session Defaults,ברירות מחדל של מושב,
Show in Website,הצג באתר,
Show this slideshow at the top of the page,הצג מצגת זו בחלק העליון של הדף,
Slideshow,מצגת,
Tax Category,קטגוריית מס,
Title,כותרת,
View Website,אתר צפה ב,
Website Settings,הגדרות אתר,
Website Specifications,מפרט אתר,
Weightage,Weightage,
