About,O,
Accept Payment,prihvaća plaćanje,
Amount,Iznos,
Amount Based On Field,Iznos koji se temelji na terenskom,
Amount Field,iznos polje,
Attributes,Značajke,
Button Help,Button Pomoć,
Button Label,Button Label,
Compact Item Print,Kompaktni Stavka Print,
Company,Društvo,
Currency,Valuta,
Customer,kupac,
Description,Opis,
HTML / Banner that will show on the top of product list.,HTML / baner koji će se prikazivati na vrhu liste proizvoda.,
Is Billing Contact,Je li kontakt za naplatu,
Is Your Company Address,Je li Vaše poduzeće adresa,
Item Fields,Polja predmeta,
Keyboard Shortcuts,Prečice na tipkovnici,
Payment Gateway,Payment Gateway,
Payments,Plaćanja,
Print UOM after Quantity,Ispis UOM-a nakon količine,
Print taxes with zero amount,Ispis poreza s nula iznosa,
Products,proizvodi,
Reload,Reload,
Route,put,
Session Defaults,Zadani zadaci sesije,
Show in Website,Prikaži na web mjestu,
Show this slideshow at the top of the page,Prikaži ovaj slideshow na vrhu stranice,
Slideshow,Slideshow,
Tax Category,Porezna kategorija,
Title,Naslov,
View Website,Pogledaj web stranicu,
Website Settings,Postavke web stranice,
Website Specifications,Web Specifikacije,
Weightage,Weightage,
