Accept Payment,Fizetés fogadása,
Amount,Összeg,
Amount Based On Field,Összeg a mező alapján,
Amount Field,Összeg mező,
Attributes,Jellemzők,
Button Help,Gomb Súgó,
Button Label,Gomb felirat,
Compact Item Print,Kompakt tétel Nyomtatás,
Company,Vállalkozás,
Currency,Pénznem,
Customer,Vevő,
Description,Leírás,
HTML / Banner that will show on the top of product list.,HTML / Szalagcím a tételek listájának tetején fog megjelenni.,
Is Billing Contact,Számlázási kapcsolattartó,
Is Your Company Address,Az Ön cége címe,
Item Fields,Elem mezők,
Keyboard Shortcuts,Gyorsbillentyűket,
Payment Gateway,Fizetési átjáró,
Payments,Kifizetések,
Print UOM after Quantity,Az UOM nyomtatása a mennyiség után,
Print taxes with zero amount,Adja meg az adókat nulla összeggel,
Products,Termékek,
Reload,Reload,
Route,Útvonal,
Session Defaults,Munkamenet alapértelmezései,
Show in Website,Megjelenítés a Weboldalon,
Show this slideshow at the top of the page,Jelenítse meg ezt a diavetatést a lap tetején,
Slideshow,Diavetítés,
Tax Category,Adókategória,
Title,Cím,
View Website,Weboldal megtekintése,
Website Settings,Weboldal beállítások,
Website Specifications,Weboldal részletek,
Weightage,Súlyozás,
