Accept Payment,Terima Pembayaran,
Amount,Total,
Amount Based On Field,Jumlah Berdasarkan Bidang,
Amount Field,jumlah Lapangan,
Attributes,Atribut,
Button Help,Tombol Bantuan,
Button Label,Tombol Label,
Compact Item Print,Kompak Barang Cetak,
Company,Perusahaan,
Currency,Mata uang,
Customer,Pelanggan,
Description,Deskripsi,
HTML / Banner that will show on the top of product list.,HTML / Banner yang akan muncul di bagian atas daftar produk.,
Is Billing Contact,Apakah Kontak Penagihan,
Is Your Company Address,Apakah Alamat Perusahaan Anda,
Item Fields,Bidang Barang,
Keyboard Shortcuts,Pintasan keyboard,
Payment Gateway,Gerbang pembayaran,
Payments,2. Payment (Pembayaran),
Print UOM after Quantity,Cetak UOM setelah Kuantitas,
Print taxes with zero amount,Cetak pajak dengan jumlah nol,
Products,Produk,
Reload,Mengisi kembali,
Route,Rute,
Session Defaults,Default Sesi,
Show in Website,Tampilkan di Situs Web,
Show this slideshow at the top of the page,Tampilkan slide ini di bagian atas halaman,
Slideshow,Rangkai Salindia,
Tax Category,Kategori Pajak,
Title,Judul,
View Website,Lihat Situs Web,
Website Settings,Pengaturan situs web,
Website Specifications,Website Spesifikasi,
Weightage,Weightage,
