Accept Payment,priimame mokėjimus,
Amount,Suma,
Amount Based On Field,Suma pagal lauko,
Amount Field,suma laukas,
Attributes,atributai,
Button Help,mygtukas Pagalba,
Button Label,mygtukas Etiketė,
Compact Item Print,Kompaktiškas punktas Spausdinti,
Company,Bendrovė,
Currency,valiuta,
Customer,Klientas,
Description,Prekės ir paslaugos pavadinimas,
HTML / Banner that will show on the top of product list.,"HTML / reklama, kuri parodys ant produkto sąrašo viršuje.",
Is Billing Contact,Ar yra atsiskaitymo kontaktas,
Is Your Company Address,Ar Jūsų įmonė Adresas,
Item Fields,Prekės laukai,
Keyboard Shortcuts,Klaviatūros nuorodos,
Payment Gateway,Mokėjimo šliuzai,
Payments,Mokėjimai,
Print UOM after Quantity,Spausdinkite UOM po kiekio,
Print taxes with zero amount,Spausdinti mokesčius su nuline suma,
Products,Produktai,
Reload,Perkrauti,
Route,Maršrutas,
Session Defaults,Sesijos numatytieji nustatymai,
Show in Website,Rodyti svetainėje,
Show this slideshow at the top of the page,Parodyti šią demonstraciją prie puslapio viršuje,
Slideshow,Skaidrės,
Tax Category,Mokesčių kategorija,
Title,Pavadinimas,
View Website,Peržiūrėti svetainė,
Website Settings,Svetainės nustatymai,
Website Specifications,Interneto svetainė duomenys,
Weightage,weightage,
