Accept Payment,pieņemt Apmaksa,
Amount,Summa,
Amount Based On Field,"Summa, pamatojoties uz lauka",
Amount Field,summa Field,
Attributes,Atribūti,
Button Help,poga Palīdzība,
Button Label,poga Label,
Compact Item Print,Compact Prece Print,
Company,Kompānija,
Currency,Valūta,
Customer,Klients,
Description,Apraksts,
HTML / Banner that will show on the top of product list.,"HTML / Banner, kas parādīsies uz augšu produktu sarakstu.",
Is Billing Contact,Vai ir norēķinu kontakts,
Is Your Company Address,Vai Jūsu uzņēmuma adrese,
Item Fields,Vienuma lauki,
Keyboard Shortcuts,Tastatūras īsceļi,
Payment Gateway,Maksājumu Gateway,
Payments,Maksājumi,
Print UOM after Quantity,Drukāt UOM pēc daudzuma,
Print taxes with zero amount,Drukāt nodokļus ar nulles summu,
Products,Produkti,
Reload,Pārlādēt,
Route,Maršruts,
Session Defaults,Sesijas noklusējumi,
Show in Website,Rādīt vietnē,
Show this slideshow at the top of the page,Parādiet šo slaidrādi augšpusē lapas,
Slideshow,Slaidrādi,
Tax Category,Nodokļu kategorija,
Title,Virsraksts,
View Website,Skatīt Website,
Website Settings,Website iestatījumi,
Website Specifications,Website specifikācijas,
Weightage,Weightage,
