Accept Payment,прифати плаќање,
Amount,Износ,
Amount Based On Field,Износот Врз основа на полето,
Amount Field,Големина на поле,
Attributes,Атрибути,
Button Help,копче за помош,
Button Label,копчето Етикета,
Compact Item Print,Печатење компактни ставки,
Company,Компанијата,
Currency,Валута,
Customer,Клиент,
Description,Опис,
HTML / Banner that will show on the top of product list.,HTML / Банер кои ќе се појавуваат на врвот од листата на производи.,
Is Billing Contact,Дали е контакт за наплата,
Is Your Company Address,Дали вашата компанија адреса,
Item Fields,Поле полиња,
Keyboard Shortcuts,Кратенки на тастатурата,
Payment Gateway,Исплата Портал,
Payments,Плаќања,
Print UOM after Quantity,Печатете UOM по количина,
Print taxes with zero amount,Печати даноци со нула,
Products,Производи,
Reload,Вчитај ја страната повторно,
Route,Пат,
Session Defaults,Сесија стандардно,
Show in Website,Прикажи на веб-страница,
Show this slideshow at the top of the page,Прикажи Овој слајдшоу на врвот на страната,
Slideshow,Слајдшоу,
Tax Category,Категорија на данок,
Title,Наслов,
View Website,Преглед на веб-страница,
Website Settings,Settings веб-страница,
Website Specifications,Веб-страница Спецификации,
Weightage,Weightage,
