Accept Payment,പേമെന്റ്,
Amount,തുക,
Amount Based On Field,ഫീൽഡ് അടിസ്ഥാനമാക്കി തുക,
Amount Field,തുക ഫീൽഡ്,
Attributes,വിശേഷണങ്ങൾ,
Button Help,ബട്ടൺ സഹായം,
Button Label,ബട്ടൺ ലേബൽ,
Compact Item Print,കോംപാക്റ്റ് ഇനം പ്രിന്റ്,
Company,കമ്പനി,
Currency,കറൻസി,
Customer,കസ്റ്റമർ,
Description,വിവരണം,
HTML / Banner that will show on the top of product list.,ഉൽപ്പന്ന പട്ടികയിൽ മുകളിൽ കാണിച്ചുതരുന്ന HTML / ബാനർ.,
Is Billing Contact,ബില്ലിംഗ് കോൺടാക്റ്റ് ആണ്,
Is Your Company Address,നിങ്ങളുടെ കമ്പനി വിലാസമാണ്,
Item Fields,ഇനം ഫീൽഡുകൾ,
Keyboard Shortcuts,കീബോർഡ് കുറുക്കുവഴികൾ,
Payment Gateway,പേയ്മെന്റ് ഗേറ്റ്വേ,
Payments,പേയ്മെൻറുകൾ,
Print UOM after Quantity,അളവിന് ശേഷം UOM പ്രിന്റുചെയ്യുക,
Print taxes with zero amount,പൂജ്യം തുക ഉപയോഗിച്ച് നികുതികൾ അച്ചടിക്കുക,
Products,ഉൽപ്പന്നങ്ങൾ,
Reload,വീണ്ടും ലോഡുചെയ്യുക,
Route,റൂട്ട്,
Session Defaults,സെഷൻ സ്ഥിരസ്ഥിതികൾ,
Show in Website,വെബ്‌സൈറ്റിൽ കാണിക്കുക,
Show this slideshow at the top of the page,പേജിന്റെ മുകളിലുള്ള ഈ സ്ലൈഡ്ഷോ കാണിക്കുക,
Slideshow,സ്ലൈഡ്ഷോ,
Tax Category,നികുതി വിഭാഗം,
Title,ശീർഷകം,
View Website,വെബ്സൈറ്റ് കാണുക,
Website Settings,വെബ്സൈറ്റ് ക്രമീകരണങ്ങൾ,
Website Specifications,വെബ്സൈറ്റ് വ്യതിയാനങ്ങൾ,
Weightage,വെയിറ്റേജ്,
