Accept Payment,देयक स्वीकारा,
Amount,रक्कम,
Amount Based On Field,फील्ड आधारित रक्कम,
Amount Field,रक्कम फील्ड,
Attributes,विशेषता,
Button Help,बटण मदत,
Button Label,बटण लेबल,
Compact Item Print,संक्षिप्त आयटम मुद्रित,
Company,कंपनी,
Currency,चलन,
Customer,ग्राहक,
Description,वर्णन,
HTML / Banner that will show on the top of product list.,HTML / बॅनर जे  उत्पादन सूचीच्या वर दर्शवले जाईल,
Is Billing Contact,बिलिंग संपर्क आहे,
Is Your Company Address,आपल्या  कंपनीचा  पत्ता आहे का ?,
Item Fields,आयटम फील्ड,
Keyboard Shortcuts,कीबोर्ड शॉर्टकट,
Payment Gateway,पेमेंट गेटवे,
Payments,देयके,
Print UOM after Quantity,प्रमाणानंतर यूओएम मुद्रित करा,
Print taxes with zero amount,शून्य रकमेसह कर छपाई करा,
Products,उत्पादने,
Reload,रीलोड करा,
Route,मार्ग,
Session Defaults,सत्र डीफॉल्ट,
Show in Website,वेबसाइटमध्ये दर्शवा,
Show this slideshow at the top of the page,पृष्ठाच्या शीर्षस्थानी हा स्लाइडशो दर्शवा,
Slideshow,स्लाइडशो,
Tax Category,कर श्रेणी,
Title,शीर्षक,
View Website,वेबसाइट पहा,
Website Settings,वेबसाइट सेटिंग्ज,
Website Specifications,वेबसाइट वैशिष्ट्य,
Weightage,वजन,
