Accept Payment,terima Pembayaran,
Amount,Jumlah,
Amount Based On Field,Jumlah Berasaskan Field,
Amount Field,jumlah Field,
Attributes,Sifat-sifat,
Button Help,butang Bantuan,
Button Label,Button Label,
Compact Item Print,Compact Perkara Cetak,
Company,Syarikat,
Currency,Mata Wang,
Customer,Pelanggan,
Description,Penerangan,
HTML / Banner that will show on the top of product list.,HTML / Banner yang akan muncul di bahagian atas senarai produk.,
Is Billing Contact,Adakah Kenalan Pengebilan,
Is Your Company Address,Adakah anda Alamat Syarikat,
Item Fields,Bidang Perkara,
Keyboard Shortcuts,Pintasan papan kekunci,
Payment Gateway,Gateway Pembayaran,
Payments,Pembayaran,
Print UOM after Quantity,Cetak UOM selepas Kuantiti,
Print taxes with zero amount,Cetak cukai dengan jumlah sifar,
Products,Produk,
Reload,Muat semula,
Route,Route,
Session Defaults,Default Sesi,
Show in Website,Tunjukkan di Laman Web,
Show this slideshow at the top of the page,Menunjukkan tayangan gambar ini di bahagian atas halaman,
Slideshow,Slideshow,
Tax Category,Kategori Cukai,
Title,Tajuk,
View Website,Lihat Laman Web,
Website Settings,Tetapan laman web,
Website Specifications,Laman Web Spesifikasi,
Weightage,Wajaran,
