Accept Payment,ငွေပေးချေမှုရမည့် Accept,
Amount,ငွေပမာဏ,
Amount Based On Field,ဖျော်ဖြေမှုတွင် အခြေခံ. ပမာဏ,
Amount Field,ငွေပမာဏဖျော်ဖြေမှု,
Attributes,Attribute တွေ,
Button Help,button ကိုအကူအညီ,
Button Label,button ကိုတံဆိပ်တပ်ရန်,
Compact Item Print,ကျစ်လစ်သိပ်သည်း Item ပုံနှိပ်ပါ,
Company,ကုမ္ပဏီ,
Currency,ငှေကွေး,
Customer,ဝယ်သူ,
Description,ဖေါ်ပြချက်,
HTML / Banner that will show on the top of product list.,ထုတ်ကုန်စာရင်း၏ထိပ်ပေါ်မှာပြလတံ့သောက HTML / Banner ။,
Is Billing Contact,ငွေတောင်းခံမှုဖြစ်သည်,
Is Your Company Address,သင့်ရဲ့ကုမ္ပဏီလိပ်စာဖြစ်ပါသည်,
Item Fields,item Fields,
Keyboard Shortcuts,keyboard Shortcuts,
Payment Gateway,ငွေပေးချေမှုရမည့် Gateway မှာ,
Payments,ငွေပေးချေမှု,
Print UOM after Quantity,အရေအတွက်အပြီး UOM ကို print ထုတ်ပါ,
Print taxes with zero amount,သုညငွေပမာဏနှင့်အတူပုံနှိပ်ပါအခွန်များ,
Products,ထုတ်ကုန်များ,
Reload,Reload ကို,
Route,ခရီးစဉ်,
Session Defaults,session Defaults ကို,
Show in Website,ဝဘ်ဆိုက်တွင်ပြပါ,
Show this slideshow at the top of the page,စာမျက်နှာရဲ့ထိပ်မှာဒီဆလိုက်ရှိုးပြရန်,
Slideshow,ဆလိုက်ရှိုး,
Tax Category,အခွန်အမျိုးအစား,
Title,ဘှဲ့,
View Website,view ဝက်ဘ်ဆိုက်,
Website Settings,website Settings ကို,
Website Specifications,website သတ်မှတ်ချက်များ,
Weightage,Weightage,
