Accept Payment,Accepteer Betaling,
Amount,Bedrag,
Amount Based On Field,Bedrag op basis van Field,
Amount Field,bedrag Field,
Attributes,Attributen,
Button Help,knop Help,
Button Label,knoplabel,
Compact Item Print,Compact Item Print,
Company,Bedrijf,
Currency,Valuta,
Customer,Klant,
Description,Beschrijving,
HTML / Banner that will show on the top of product list.,HTML / Banner dat zal laten zien op de bovenkant van het product lijst.,
Is Billing Contact,Is contactpersoon voor facturering,
Is Your Company Address,Is uw bedrijf Adres,
Item Fields,Item velden,
Keyboard Shortcuts,Toetsenbord sneltoetsen,
Payment Gateway,Payment Gateway,
Payments,Betalingen,
Print UOM after Quantity,Druk maateenheid af na aantal,
Print taxes with zero amount,Afdrukbelasting met nulbedrag,
Products,producten,
Reload,Herladen,
Route,Route,
Session Defaults,Standaardwaarden sessie,
Show in Website,Weergeven op website,
Show this slideshow at the top of the page,Laat deze slideshow aan de bovenkant van de pagina,
Slideshow,Diashow,
Tax Category,Belastingcategorie,
Title,Titel,
View Website,Bekijk Website,
Website Settings,Website instellingen,
Website Specifications,Website Specificaties,
Weightage,Weging,
