Accept Payment,godta betaling,
Amount,Beløp,
Amount Based On Field,Beløp basert på feltet,
Amount Field,mengde-feltet,
Attributes,Egenskaper,
Button Help,Button Hjelp,
Button Label,Button etikett,
Compact Item Print,Kompakt Element Skriv ut,
Company,Selskap,
Currency,Valuta,
Customer,Kunde,
Description,Beskrivelse,
HTML / Banner that will show on the top of product list.,HTML / Banner som vil vises på toppen av listen over produkter.,
Is Billing Contact,Er faktureringskontakt,
Is Your Company Address,Er din bedrift Adresse,
Item Fields,Varefelt,
Keyboard Shortcuts,Tastatursnarveier,
Payment Gateway,Betaling Gateway,
Payments,Betalinger,
Print UOM after Quantity,Skriv ut UOM etter antall,
Print taxes with zero amount,Skriv ut avgifter med null beløp,
Products,Produkter,
Reload,Last,
Route,Rute,
Session Defaults,Økt mislighold,
Show in Website,Vis på nettstedet,
Show this slideshow at the top of the page,Vis lysbildefremvisning på toppen av siden,
Slideshow,Lysbildefremvisning,
Tax Category,Skattekategori,
Title,Tittel,
View Website,Vis nettstedet,
Website Settings,Nettstedinnstillinger,
Website Specifications,Nettstedet Spesifikasjoner,
Weightage,Weightage,
