Accept Payment,Aceite o pagamento,
Amount,Montante,
Amount Based On Field,Montante baseado em campo,
Amount Field,Valor campo,
Attributes,Atributos,
Button Help,botão Ajuda,
Button Label,Etiqueta do botão,
Compact Item Print,Cópia de Item Compacta,
Company,Empresa,
Currency,Moeda,
Customer,Cliente,
Description,Descrição,
HTML / Banner that will show on the top of product list.,O HTML / Banner que será mostrado no topo da lista de produtos.,
Is Billing Contact,É contato de cobrança,
Is Your Company Address,É o Seu Endereço Empresarial,
Item Fields,Campos de item,
Keyboard Shortcuts,Atalhos do teclado,
Payment Gateway,Portal de Pagamento,
Payments,Pagamentos,
Print UOM after Quantity,Imprimir UOM após a quantidade,
Print taxes with zero amount,Imprima impostos com montante zero,
Products,Produtos,
Reload,recarregar,
Route,Rota,
Session Defaults,Padrões de Sessão,
Show in Website,Mostrar no site,
Show this slideshow at the top of the page,Mostrar esta apresentação de diapositivos no topo da página,
Slideshow,Slideshow,
Tax Category,Categoria de imposto,
Title,Título,
View Website,Veja site,
Website Settings,Configurações do site,
Website Specifications,Especificações do Website,
Weightage,Peso,
