Accept Payment,Accept Plata,
Amount,Sumă,
Amount Based On Field,Suma bazată pe câmp,
Amount Field,suma de câmp,
Attributes,Atribute,
Button Help,butonul Ajutor,
Button Label,butonul Label,
Compact Item Print,Compact Postul de imprimare,
Company,Compania,
Currency,Valută,
Customer,Client,
Description,Descriere,
HTML / Banner that will show on the top of product list.,"HTML / Banner, care va arăta pe partea de sus a listei de produse.",
Is Billing Contact,Este contactul de facturare,
Is Your Company Address,Este Adresa companie,
Item Fields,Câmpurile articolului,
Keyboard Shortcuts,Comenzile rapide de la tastatură,
Payment Gateway,Gateway de plată,
Payments,Plăți,
Print UOM after Quantity,Imprimați UOM după Cantitate,
Print taxes with zero amount,Imprimă taxele cu suma zero,
Products,Instrumente,
Reload,Reîncarcă,
Route,Traseu,
Session Defaults,Valorile implicite ale sesiunii,
Show in Website,Afișați pe site,
Show this slideshow at the top of the page,Arată această prezentare în partea de sus a paginii,
Slideshow,Slideshow,
Tax Category,Categoria fiscală,
Title,Titlu,
View Website,Vezi site-ul,
Website Settings,Setarile site-ului,
Website Specifications,Site-ul Specificații,
Weightage,Weightage,
