About,О системе,
Accept Payment,Подтвердить платеж,
Amount,Сумма,
Amount Based On Field,Сумма на основании поля,
Amount Field,Поле суммы,
Attributes,Атрибуты,
Button Help,Кнопка помощь,
Button Label,Кнопка метка,
Compact Item Print,Компактный товара печати,
Company,Организация,
Currency,Валюта,
Customer,Клиент,
Description,Описание,
Documentation,Документация,
HTML / Banner that will show on the top of product list.,HTML / Баннер который будет отображаться в верхней части списка продуктов.,
Is Billing Contact,Контакт для выставления счетов,
Is Your Company Address,Является адресом вашей компании,
Item Fields,Поля продуктов,
Keyboard Shortcuts,Горячие клавиши,
My Profile,Мой профиль,
My Settings,Мои настройки,
Payment Gateway,Платежный шлюз,
Payments,Оплата,
Print UOM after Quantity,Печать единиц измерения после количества,
Print taxes with zero amount,Печать налогов с нулевой суммой,
Products,Продукты,
Reload,Обновить страницу,
Report an Issue,Сообщить об ошибке,
Route,Маршрут,
Session Defaults,Сеансы по умолчанию,
Show in Website,Показать на веб-сайте,
Show this slideshow at the top of the page,Показать этот слайд-шоу в верхней части страницы,
Slideshow,Слайд-шоу,
Tax Category,Налоговая категория,
Title,Заголовок,
Toggle Full Width,Переключить ширину,
Toggle Theme,Переключить тему,
User Forum,Форум пользователей,
View Website,Посмотреть сайт,
Website Settings,Настройки сайта,
Website Specifications,Характеристики веб-сайта,
Weightage,Добавка,
