Accept Payment,Emera Kwishura,
Amount,Umubare,
Amount Based On Field,Amafaranga ashingiye kumurima,
Amount Field,Umubare w&#39;amafaranga,
Attributes,Ibiranga,
Button Help,Ubufasha bwa Button,
Button Label,Akarango,
Compact Item Print,Icapa Ikintu Cyuzuye,
Company,Isosiyete,
Currency,Ifaranga,
Customer,Umukiriya,
Description,Ibisobanuro,
HTML / Banner that will show on the top of product list.,HTML / Ibendera ryerekana hejuru kurutonde rwibicuruzwa.,
Is Billing Contact,Nukwishyuza,
Is Your Company Address,Ese Aderesi Yawe,
Item Fields,Ikibanza,
Keyboard Shortcuts,Amahinanzira ya Mwandikisho,
Payment Gateway,Irembo ryo Kwishura,
Payments,Kwishura,
Print UOM after Quantity,Shira UOM nyuma yumubare,
Print taxes with zero amount,Shira imisoro hamwe na zeru,
Products,Ibicuruzwa,
Reload,Ongera usubiremo,
Route,Inzira,
Session Defaults,Isomo risanzwe,
Show in Website,Erekana kurubuga,
Show this slideshow at the top of the page,Erekana iyi shusho hejuru yurupapuro,
Slideshow,Igicapo,
Tax Category,Icyiciro cy&#39;Imisoro,
Title,Umutwe,
View Website,Reba Urubuga,
Website Settings,Igenamiterere ryurubuga,
Website Specifications,Urubuga Ibisobanuro,
Weightage,Uburemere,
