Accept Payment,prijímame platby,
Amount,Částka,
Amount Based On Field,Suma z terénneho,
Amount Field,vyššie Field,
Attributes,Atribúty,
Button Help,tlačidlo Pomocník,
Button Label,tlačidlo Label,
Compact Item Print,Tlačiť položku kompaktne,
Company,Spoločnosť,
Currency,Mena,
Customer,zákazník,
Description,popis,
HTML / Banner that will show on the top of product list.,"HTML / Banner, které se zobrazí na první místo v seznamu výrobků.",
Is Billing Contact,Je fakturačný kontakt,
Is Your Company Address,Je vaša firma adresa,
Item Fields,Polia položky,
Keyboard Shortcuts,Klávesové skratky,
Payment Gateway,Platobná brána,
Payments,Platby,
Print UOM after Quantity,Tlač MJ po množstve,
Print taxes with zero amount,Tlačiť dane s nulovou čiastkou,
Products,Výrobky,
Reload,Znovu načítať,
Route,trasa,
Session Defaults,Predvolené hodnoty relácie,
Show in Website,Zobraziť na webe,
Show this slideshow at the top of the page,Zobrazit tuto prezentaci v horní části stránky,
Slideshow,Premietanie obrázkov na webstránke,
Tax Category,Daňová kategória,
Title,Názov,
View Website,Prejsť na webstránku,
Website Settings,Nastavení www stránky,
Website Specifications,Webových stránek Specifikace,
Weightage,Weightage,
