Accept Payment,Sprejmi plačilo,
Amount,Znesek,
Amount Based On Field,"Znesek, ki temelji na terenskem",
Amount Field,znesek Field,
Attributes,Atributi,
Button Help,gumb Pomoč,
Button Label,Button Label,
Compact Item Print,Compact Točka Print,
Company,Podjetje,
Currency,Valuta,
Customer,Stranka,
Description,Opis,
HTML / Banner that will show on the top of product list.,"HTML pasica, ki se bo prikazala na vrhu seznama izdelkov.",
Is Billing Contact,Je kontakt za obračun,
Is Your Company Address,Je vaše podjetje naslov,
Item Fields,Polja predmeta,
Keyboard Shortcuts,Bližnjice na tipkovnici,
Payment Gateway,Plačilo Gateway,
Payments,Plačila,
Print UOM after Quantity,Natisni UOM po količini,
Print taxes with zero amount,Natisni davke z ničelnim zneskom,
Products,Izdelki,
Reload,Osveži,
Route,Route,
Session Defaults,Privzete seje,
Show in Website,Pokaži na spletnem mestu,
Show this slideshow at the top of the page,Pokažite ta diaprojekcije na vrhu strani,
Slideshow,Slideshow,
Tax Category,Davčna kategorija,
Title,Naziv,
View Website,View Website,
Website Settings,Spletna stran Nastavitve,
Website Specifications,Spletna Specifikacije,
Weightage,Weightage,
