Accept Payment,Prano Pagesa,
Amount,Sasi,
Amount Based On Field,Shuma bazë On Field,
Amount Field,shuma Field,
Attributes,Atributet,
Button Help,Button Ndihmë,
Button Label,Button Label,
Compact Item Print,Compact Item Print,
Company,Kompani,
Currency,Monedhë,
Customer,klient,
Description,Përshkrim,
HTML / Banner that will show on the top of product list.,HTML / Banner që do të tregojnë në krye të listës së produktit.,
Is Billing Contact,A është kontakti i faturimit,
Is Your Company Address,Është kompania juaj Adresa,
Item Fields,Fushat e artikullit,
Keyboard Shortcuts,Shkurtoret e tastierës,
Payment Gateway,Gateway Pagesa,
Payments,Pagesat,
Print UOM after Quantity,Shtypni UOM pas Sasisë,
Print taxes with zero amount,Printoni taksat me shumën zero,
Products,Produkte,
Reload,Rifresko,
Route,rrugë,
Session Defaults,Default Seanca,
Show in Website,Shfaq në Uebfaqe,
Show this slideshow at the top of the page,Trego këtë slideshow në krye të faqes,
Slideshow,Slideshow,
Tax Category,Kategoria e Taksave,
Title,titull,
View Website,Shikoni faqen e internetit,
Website Settings,Website Cilësimet,
Website Specifications,Specifikimet Website,
Weightage,Weightage,
