About,Om,
Accept Payment,Acceptera betalning,
Amount,Mängd,
Amount Based On Field,Belopp som baseras på Field,
Amount Field,belopp Field,
Apps,Appar,
Attributes,Attributer,
Button Help,KNAPPHJÄLP,
Button Label,Button Label,
Compact Item Print,Kompakt Produkttryck,
Company,Företaget,
Currency,Valuta,
Customer,Kunden,
Description,Beskrivning,
Frappe Support,Frappe Support,
HTML / Banner that will show on the top of product list.,HTML / Banner som visar på toppen av produktlista.,
Is Billing Contact,Är faktureringskontakt,
Is Your Company Address,Är ditt Företag Adress,
Item Fields,Objektfält,
Keyboard Shortcuts,Kort Kommando,
Log out,Logga Ut,
My Profile,Min Profil,
My Settings,Mina Inställningar,
Payment Gateway,Payment Gateway,
Payments,Betalningar,
Print UOM after Quantity,Skriv UOM efter kvantitet,
Print taxes with zero amount,Skriv ut skatter med nollbelopp,
Products,Produkter,
Reload,Ladda om,
Route,Rutt,
Session Defaults,Session Inställningar,
Show in Website,Visa på webbplatsen,
Show this slideshow at the top of the page,Visa denna bildspel längst upp på sidan,
Slideshow,Bildspel,
Tax Category,Skatt kategori,
Title,Titel,
Toggle Full Width,Växla Full Bredd,
Toggle Theme,Växla Tema,
View Website,Visa Webbplats,
Website Settings,Webbplatsinställningar,
Website Specifications,Webbplats Specifikationer,
Weightage,Vikt,
