Accept Payment,చెల్లింపు అంగీకరించు,
Amount,మొత్తం,
Amount Based On Field,మొత్తం రంగంలో ఆధారంగా,
Amount Field,మొత్తం ఫీల్డ్,
Attributes,గుణాలు,
Button Help,బటన్ సహాయం,
Button Label,బటన్ లేబుల్,
Compact Item Print,కాంపాక్ట్ అంశం ప్రింట్,
Company,కంపెనీ,
Currency,కరెన్సీ,
Customer,కస్టమర్,
Description,వివరణ,
HTML / Banner that will show on the top of product list.,ఉత్పత్తి జాబితా పైన కనిపిస్తాయి ఆ HTML / బ్యానర్.,
Is Billing Contact,బిల్లింగ్ పరిచయం,
Is Your Company Address,మీ కంపెనీ అడ్రస్ ఇస్,
Item Fields,అంశం ఫీల్డ్‌లు,
Keyboard Shortcuts,కీబోర్డ్ సత్వరమార్గాలు,
Payment Gateway,చెల్లింపు గేట్వే,
Payments,చెల్లింపులు,
Print UOM after Quantity,పరిమాణం తర్వాత UOM ను ముద్రించండి,
Print taxes with zero amount,సున్నా మొత్తాన్ని పన్నులను ముద్రించండి,
Products,ఉత్పత్తులు,
Reload,Reload,
Route,రూట్,
Session Defaults,సెషన్ డిఫాల్ట్‌లు,
Show in Website,వెబ్‌సైట్‌లో చూపించు,
Show this slideshow at the top of the page,పేజీ ఎగువన ఈ స్లైడ్ చూపించు,
Slideshow,స్లైడ్,
Tax Category,పన్ను వర్గం,
Title,శీర్షిక,
View Website,చూడండి వెబ్సైట్,
Website Settings,వెబ్సైట్ సెట్టింగ్లు,
Website Specifications,వెబ్సైట్ లక్షణాలు,
Weightage,వెయిటేజీ,
