Accept Payment,ยอมรับการชำระเงิน,
Amount,จำนวน,
Amount Based On Field,จำนวนเงินจากบนสนาม,
Amount Field,ฟิลด์จำนวนเงิน,
Attributes,คุณลักษณะ,
Button Help,ปุ่มช่วยเหลือ,
Button Label,ปุ่มฉลาก,
Compact Item Print,ขนาดกะทัดรัดรายการพิมพ์,
Company,บริษัท,
Currency,เงินตรา,
Customer,ลูกค้า,
Description,คำอธิบาย,
HTML / Banner that will show on the top of product list.,HTML / แบนเนอร์ที่จะแสดงอยู่ด้านบนของรายการสินค้า,
Is Billing Contact,เป็นผู้ติดต่อเรียกเก็บเงิน,
Is Your Company Address,คือที่อยู่ บริษัท ของคุณ,
Item Fields,รายการฟิลด์,
Keyboard Shortcuts,แป้นพิมพ์ลัด,
Payment Gateway,ช่องทางการชำระเงิน,
Payments,วิธีการชำระเงิน,
Print UOM after Quantity,พิมพ์ UOM หลังจำนวน,
Print taxes with zero amount,พิมพ์ภาษีที่มีจำนวนเป็นศูนย์,
Products,ผลิตภัณฑ์,
Reload,โหลด,
Route,เส้นทาง,
Session Defaults,ค่าเริ่มต้นของเซสชัน,
Show in Website,แสดงในเว็บไซต์,
Show this slideshow at the top of the page,แสดงภาพสไลด์นี้ที่ด้านบนของหน้า,
Slideshow,สไลด์โชว์,
Tax Category,ประเภทภาษี,
Title,ชื่อเรื่อง,
View Website,ดูเว็บไซต์,
Website Settings,การตั้งค่าเว็บไซต์,
Website Specifications,ข้อมูลจำเพาะเว็บไซต์,
Weightage,weightage,
