About,Hakkında,
Amount,Tutar,
Apps,Uygulamalar,
Attributes,Nitelikler,
Compact Item Print,Kompakt Öğe Yazdır,
Company,Şirket,
Currency,Para Birimi,
Customer,Müşteri,
Description,Açıklama,
Documentation,Dökümantasyon,
Frappe Support,Frappe Desteği,
HTML / Banner that will show on the top of product list.,Ürün listesinin muhafazaları HTML / Banner.,
Item Fields,Öğe Alanları,
Keyboard Shortcuts,Klavye Kısayolları,
Log out,Çıkış,
My Profile,Profilim,
My Settings,Ayarlarım,
Payment Gateway,Ödeme Ağ Geçidi,
Payments,Ödemeler,
Print UOM after Quantity,Birimi Miktardan Sonra Yazdır,
Print taxes with zero amount,Vergileri sıfır tutarla yazdır,
Product Categories,Ürün Kategorileri,
Products,Ürünler,
Reload,Yeniden Yükle,
Report an Issue,Sorun Bildir,
Route,Rota,
Session Defaults,Oturum Varsayılanları,
Show in Website,Web Sitesinde Göster,
Show this slideshow at the top of the page,Sayfanın üstünde bu slayt gösterisini göster,
Slideshow,Slayt Gösterisi,
Tax Category,Vergi Kategorisi,
Title,Başlık,
Toggle Full Width,Geniş Görünüm,
Toggle Theme,Temayı Değiştir,
User Forum,Kullanıcı Forumu,
View Website,Websitesine Git,
Website Settings,Web Sitesi Ayarları,
Website Specifications,Web Sitesi Özellikleri,
Weightage,Ağırlık,
Shop by Category,Kategoriye Göre Alışveriş,
Explore our wide range of medical products,Geniş tıbbi ürün yelpazemizi keşfedin,
products,ürün,
View Products,Ürünleri Görüntüle,
News,Haberler,
Latest news from the medical sector,Tıp sektöründen son haberler,
Comments disabled,Yorumlar devre dışı bırakıldı,
Comments enabled,Yorumlar etkin,
Partners,Ortaklar,
