Accept Payment,ادائیگی قبول کرتے ہیں,
Amount,رقم,
Amount Based On Field,رقم فیلڈ کی بناء,
Amount Field,رقم کا میدان,
Attributes,صفات,
Button Help,کے بٹن کی مدد,
Button Label,بٹن لیبل,
Compact Item Print,کومپیکٹ آئٹم تعداد,
Company,کمپنی,
Currency,کرنسی,
Customer,کسٹمر,
Description,تفصیل,
HTML / Banner that will show on the top of product list.,مصنوعات کی فہرست کے سب سے اوپر پر دکھایا جائے گا کہ ایچ ٹی ایم ایل / بینر.,
Is Billing Contact,بلنگ سے رابطہ ہے,
Is Your Company Address,آپ کی کمپنی ایڈریس ہے,
Item Fields,آئٹم فیلڈز,
Keyboard Shortcuts,کی بورڈ شارٹ کٹس,
Payment Gateway,ادائیگی کے گیٹ وے,
Payments,ادائیگی,
Print UOM after Quantity,مقدار کے بعد UOM پرنٹ کریں,
Print taxes with zero amount,صفر کے ساتھ ٹیکس پرنٹ کریں,
Products,مصنوعات,
Reload,دوبارہ,
Route,روٹ,
Session Defaults,سیشن ڈیفالٹس,
Show in Website,ویب سائٹ میں دکھائیں,
Show this slideshow at the top of the page,صفحے کے سب سے اوپر اس سلائڈ شو دکھانے کے,
Slideshow,سلائیڈ شو,
Tax Category,ٹیکس کیٹیگری۔,
Title,عنوان,
View Website,سائٹ,
Website Settings,ویب سائٹ کی ترتیبات,
Website Specifications,ویب سائٹ نردجیکرن,
Weightage,اہمیت,
