Accept Payment,Chấp nhận thanh toán,
Amount,Giá trị,
Amount Based On Field,Số tiền Dựa Trên Dòng,
Amount Field,Số tiền Dòng,
Attributes,Thuộc tính,
Button Help,nút Trợ giúp,
Button Label,Nút Nhãn,
Compact Item Print,Nhỏ gọn mục Print,
Company,Công ty,
Currency,Tiền tệ,
Customer,Khách Hàng,
Description,Mô tả,
HTML / Banner that will show on the top of product list.,HTML / Tiêu đề đó sẽ hiển thị trên đầu danh sách sản phẩm.,
Is Billing Contact,Là liên hệ thanh toán,
Is Your Company Address,Là Địa chỉ công ty của bạn,
Item Fields,Lĩnh vực mục,
Keyboard Shortcuts,Các phím tắt bàn phím,
Payment Gateway,Cổng thanh toán,
Payments,Thanh toán,
Print UOM after Quantity,In UOM sau số lượng,
Print taxes with zero amount,In thuế với số tiền bằng không,
Products,Sản phẩm,
Reload,Nạp lại,
Route,Tuyến đường,
Session Defaults,Mặc định phiên,
Show in Website,Hiển thị trong Trang web,
Show this slideshow at the top of the page,Hiển thị slideshow này ở trên cùng của trang,
Slideshow,Ảnh Slideshow,
Tax Category,Danh mục thuế,
Title,Tiêu đề,
View Website,Xem trang web,
Website Settings,Thiết lập website,
Website Specifications,Thông số kỹ thuật website,
Weightage,Trọng lượng,
