About,關於,
Accept Payment,接受支付,
Amount,量,
Amount Based On Field,用量以現場,
Amount Field,金額字段,
Apps,应用,
Attributes,屬性,
Button Help,按鈕幫助,
Button Label,按鈕標籤,
Compact Item Print,緊湊型項目打印,
Company,公司,
Currency,貨幣,
Customer,客戶,
Description,描述,
Documentation,文檔,
Frappe Support,Frappe支持,
HTML / Banner that will show on the top of product list.,HTML／橫幅，將顯示在產品列表的頂部。,
Is Billing Contact,帐单联络人,
Is Your Company Address,是你的公司地址,
Item Fields,项目字段,
Keyboard Shortcuts,键盘快捷键,
Log out,注销,
My Profile,我的档案,
My Settings,我的設定,
Normal,正常,
Payment Gateway,支付網關,
Payments,付款,
Print UOM after Quantity,数量后打印UOM,
Print taxes with zero amount,打印零金額的稅,
Products,產品,
Reload,重新載入,
Report an Issue,報告問題,
Route,路線,
Session Defaults,会话默认值,
Show in Website,在网站上显示,
Show this slideshow at the top of the page,這顯示在幻燈片頁面頂部,
Slideshow,連續播放,
Tax Category,税种,
Title,標題,
Toggle Full Width,切换全宽模式,
Toggle Theme,切换主题,
User Forum,用戶論壇,
View Website,查看網站,
Website Settings,網站設定,
Website Specifications,網站規格,
Weightage,權重,
